Function,Func_Index,Run_ID,Best_Fitness,Target,Error_Value,Time_Taken
F1,1,1,140495.56404303692,100.0,140395.56404303692,5.14
F1,1,2,41076.07783241588,100.0,40976.07783241588,5.01
F1,1,3,10535.302322917603,100.0,10435.302322917603,5.04
F1,1,4,2239.9001729029087,100.0,2139.9001729029087,4.84
F1,1,5,14203.72334226194,100.0,14103.72334226194,4.92
F3,3,1,300.86792119424183,300.0,0.8679211942418306,5.09
F3,3,2,304.11203552138596,300.0,4.1120355213859625,4.96
F3,3,3,364.18666930128666,300.0,64.18666930128666,5.12
F3,3,4,365.6545965401022,300.0,65.6545965401022,5.07
F3,3,5,327.32829743310424,300.0,27.32829743310424,5.61
F4,4,1,674.1116791551747,400.0,274.11167915517467,5.25
F4,4,2,626.9910592573133,400.0,226.99105925731328,4.98
F4,4,3,628.1730477449518,400.0,228.17304774495176,5.2
F4,4,4,511.4411768308066,400.0,111.44117683080663,4.96
F4,4,5,643.6700083733224,400.0,243.6700083733224,5.0
F5,5,1,500.0000002140518,500.0,2.1405179495559423e-07,5.34
F5,5,2,500.0000025719113,500.0,2.571911295490281e-06,5.68
F5,5,3,500.0000103140508,500.0,1.0314050825854792e-05,5.54
F5,5,4,500.0000009637145,500.0,9.637145126362157e-07,5.65
F5,5,5,500.0000034649355,500.0,3.4649355029614526e-06,5.52
F6,6,1,715.3149904953539,600.0,115.31499049535387,5.42
F6,6,2,713.1717969347028,600.0,113.1717969347028,5.13
F6,6,3,694.0561508020436,600.0,94.05615080204359,5.47
F6,6,4,689.8288235409121,600.0,89.82882354091214,5.29
F6,6,5,703.9028384483875,600.0,103.90283844838746,5.45
F7,7,1,750.7930098167258,700.0,50.79300981672577,10.52
F7,7,2,771.7172779292405,700.0,71.71727792924048,7.6
F7,7,3,739.1864945135216,700.0,39.18649451352155,8.09
F7,7,4,752.0621147212786,700.0,52.06211472127859,7.85
F7,7,5,750.0000005219687,700.0,50.00000052196867,6.63
F8,8,1,800.2688604353896,800.0,0.26886043538956983,4.06
F8,8,2,801.1018418581103,800.0,1.1018418581103333,4.48
F8,8,3,801.8006940906442,800.0,1.8006940906442424,4.55
F8,8,4,801.3922613132739,800.0,1.3922613132739343,4.53
F8,8,5,801.4295055238262,800.0,1.4295055238261511,5.1
F9,9,1,1560.834316803458,900.0,660.834316803458,5.44
F9,9,2,1423.5866737059096,900.0,523.5866737059096,6.33
F9,9,3,1420.6259809803678,900.0,520.6259809803678,8.0
F9,9,4,1601.4697082953721,900.0,701.4697082953721,13.56
F9,9,5,1717.5143964031536,900.0,817.5143964031536,11.25
F10,10,1,18177.02872864248,1000.0,17177.02872864248,10.44
F10,10,2,26115.40631600751,1000.0,25115.40631600751,7.28
F10,10,3,17671.802900771952,1000.0,16671.802900771952,4.39
F10,10,4,22397.32360188577,1000.0,21397.32360188577,4.53
F10,10,5,29103.844291882517,1000.0,28103.844291882517,4.37
F11,11,1,1631880.1126582983,1100.0,1630780.1126582983,5.14
F11,11,2,2198261.86199878,1100.0,2197161.86199878,5.19
F11,11,3,929278.9334760181,1100.0,928178.9334760181,4.97
F11,11,4,210003.28628139014,1100.0,208903.28628139014,5.19
F11,11,5,5251269.27282899,1100.0,5250169.27282899,5.06
F12,12,1,19303.825804666354,1200.0,18103.825804666354,4.5
F12,12,2,16303.95064443197,1200.0,15103.95064443197,4.45
F12,12,3,15479.654632635275,1200.0,14279.654632635275,4.36
F12,12,4,19990.809104101507,1200.0,18790.809104101507,4.47
F12,12,5,8722.094765033635,1200.0,7522.094765033635,4.59
F13,13,1,12847.760259564135,1300.0,11547.760259564135,5.0
F13,13,2,14666.741953358905,1300.0,13366.741953358905,4.66
F13,13,3,7995.628710358579,1300.0,6695.628710358579,4.68
F13,13,4,6104.777365354979,1300.0,4804.777365354979,4.75
F13,13,5,12881.655739444614,1300.0,11581.655739444614,4.7
F14,14,1,146848.57184437657,1400.0,145448.57184437657,4.69
F14,14,2,292863.19777771924,1400.0,291463.19777771924,4.81
F14,14,3,213538.94773303927,1400.0,212138.94773303927,4.76
F14,14,4,169001.94168130524,1400.0,167601.94168130524,4.91
F14,14,5,227209.65940434748,1400.0,225809.65940434748,4.91
F15,15,1,2687.0716852188234,1500.0,1187.0716852188234,6.57
F15,15,2,3054.5137248521924,1500.0,1554.5137248521924,6.34
F15,15,3,3073.3741531612836,1500.0,1573.3741531612836,5.92
F15,15,4,3107.4175601514885,1500.0,1607.4175601514885,5.86
F15,15,5,2995.066314796185,1500.0,1495.066314796185,6.07
F16,16,1,3405.23671272525,1600.0,1805.23671272525,9.19
F16,16,2,3548.8796038577443,1600.0,1948.8796038577443,9.14
F16,16,3,2096.688429479006,1600.0,496.6884294790061,9.33
F16,16,4,2622.5040506166197,1600.0,1022.5040506166197,9.36
F16,16,5,11392.819807653534,1600.0,9792.819807653534,9.32
F17,17,1,19965.6376292482,1700.0,18265.6376292482,4.93
F17,17,2,10502.34799547085,1700.0,8802.34799547085,4.92
F17,17,3,2636.096216705737,1700.0,936.0962167057369,4.77
F17,17,4,13696.37493752361,1700.0,11996.37493752361,4.94
F17,17,5,11938.281750587532,1700.0,10238.281750587532,4.97
F18,18,1,2329.0379472309965,1800.0,529.0379472309965,6.24
F18,18,2,12060.415080356846,1800.0,10260.415080356846,6.4
F18,18,3,2118.2463420425593,1800.0,318.24634204255926,6.44
F18,18,4,10063.227077179714,1800.0,8263.227077179714,6.47
F18,18,5,2815.5539922738567,1800.0,1015.5539922738567,6.38
F19,19,1,1978.021285714455,1900.0,78.02128571445496,9.81
F19,19,2,1959.8648783228414,1900.0,59.86487832284138,9.82
F19,19,3,2070.887657676631,1900.0,170.88765767663108,9.82
F19,19,4,1980.8370972138218,1900.0,80.83709721382183,9.71
F19,19,5,2055.0784574662734,1900.0,155.07845746627345,9.71
F20,20,1,2101.643088492182,2000.0,101.64308849218196,5.29
F20,20,2,2105.548112568359,2000.0,105.5481125683591,5.5
F20,20,3,2101.188472552436,2000.0,101.188472552436,5.2
F20,20,4,2103.4479193212346,2000.0,103.44791932123462,5.3
F20,20,5,2339.4796429912863,2000.0,339.47964299128625,5.54
F21,21,1,2217.152568034284,2100.0,117.15256803428383,6.3
F21,21,2,2208.582843912427,2100.0,108.58284391242705,6.33
F21,21,3,2210.50572548683,2100.0,110.50572548683022,6.27
F21,21,4,2213.030081626798,2100.0,113.03008162679816,6.29
F21,21,5,2202.1095611090414,2100.0,102.10956110904135,6.39
F22,22,1,2569.46146595082,2200.0,369.4614659508202,6.12
F22,22,2,2652.2202410720492,2200.0,452.22024107204925,6.17
F22,22,3,2303.3134789302085,2200.0,103.31347893020848,6.31
F22,22,4,2314.1995773002614,2200.0,114.19957730026135,6.56
F22,22,5,2700.819765837474,2200.0,500.8197658374738,6.13
F23,23,1,2517.167524064022,2300.0,217.16752406402202,6.07
F23,23,2,2512.288185821343,2300.0,212.28818582134318,6.07
F23,23,3,2503.8334902717047,2300.0,203.8334902717047,5.99
F23,23,4,2752.597697491016,2300.0,452.5976974910159,5.9
F23,23,5,2519.6837615289114,2300.0,219.68376152891142,8.41
F24,24,1,2989.487324685956,2400.0,589.4873246859561,6.83
F24,24,2,3002.4413845316003,2400.0,602.4413845316003,6.05
F24,24,3,2920.903990685413,2400.0,520.9039906854132,6.09
F24,24,4,3000.4426369957155,2400.0,600.4426369957155,6.06
F24,24,5,3006.7675205925857,2400.0,606.7675205925857,6.07
F25,25,1,2515.627643586889,2500.0,15.627643586889008,8.69
F25,25,2,2500.1830269895527,2500.0,0.1830269895526726,9.3
F25,25,3,3062.48275339074,2500.0,562.4827533907401,12.23
F25,25,4,3017.432137888192,2500.0,517.4321378881918,12.24
F25,25,5,2947.2748398046565,2500.0,447.2748398046565,13.38
F26,26,1,3049.6113231846766,2600.0,449.6113231846766,13.42
F26,26,2,3084.5405621914724,2600.0,484.5405621914724,12.19
F26,26,3,3083.167693104406,2600.0,483.1676931044062,12.65
F26,26,4,3134.894437392147,2600.0,534.8944373921472,11.66
F26,26,5,3187.846757605338,2600.0,587.8467576053381,12.14
F27,27,1,2887.6179465055698,2700.0,187.61794650556976,9.85
F27,27,2,2890.518556657889,2700.0,190.5185566578889,9.95
F27,27,3,2710.0273444528825,2700.0,10.027344452882517,10.98
F27,27,4,2861.4011850462966,2700.0,161.40118504629663,10.34
F27,27,5,2913.175165338078,2700.0,213.17516533807793,10.11
F28,28,1,97396.4857066934,2800.0,94596.4857066934,14.79
F28,28,2,54779.47969229347,2800.0,51979.47969229347,14.23
F28,28,3,12668.273983467587,2800.0,9868.273983467587,15.34
F28,28,4,38920.916099616144,2800.0,36120.916099616144,15.56
F28,28,5,17587.532844513546,2800.0,14787.532844513546,15.9
F29,29,1,1001944.7971459648,2900.0,999044.7971459648,10.76
F29,29,2,12200683.673693718,2900.0,12197783.673693718,13.7
F29,29,3,202209.0847373782,2900.0,199309.0847373782,12.23
F29,29,4,1553615.6087571606,2900.0,1550715.6087571606,11.07
F29,29,5,3591143.7915490647,2900.0,3588243.7915490647,10.09
